Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"DeRidder, Jody L; ",Choosing software for a digital library,Library hi tech news,24,9/10,19-21,2007,Emerald Group Publishing Limited
"Hwang, Wu-Yuin; Wang, Chin-Yu; Sharples, Mike; ",A study of multimedia annotation of Web-based materials,Computers & Education,48,4,680-699,2007,Pergamon
"Tansley, Robert; Bass, Mick; Stuve, David; Branschofsky, Margret; Chudnov, Daniel; McClellan, Greg; Smith, MacKenzie; ",The DSpace institutional digital repository system: current functionality,"2003 Joint Conference on Digital Libraries, 2003. Proceedings.",,,87-97,2003,IEEE
"Ovsiannikov, Ilia A; Arbib, Michael A; McNeill, Thomas H; ",Annotation technology,International journal of human-computer studies,50,4,329-362,1999,Academic Press
"Singhal, Amit; ",Modern information retrieval: A brief overview,IEEE Data Eng. Bull.,24,4,35-43,2001,
"Kobayashi, Mei; Takeda, Koichi; ",Information retrieval on the web,ACM computing surveys (CSUR),32,2,144-173,2000,"ACM New York, NY, USA"
"Baeza-Yates, Ricardo; Ribeiro-Neto, Berthier; ",Modern information retrieval,,463,1999,,1999,ACM press New York
"Chowdhury, Gobinda G; ",Introduction to modern information retrieval,,,,,2010,Facet publishing
"Jones, Karen Sparck; Willett, Peter; ",Readings in information retrieval,,,,,1997,Morgan Kaufmann
"Manning, Christopher D; ",An introduction to information retrieval,,,,,2009,Cambridge university press
"Schütze, Hinrich; Manning, Christopher D; Raghavan, Prabhakar; ",Introduction to information retrieval,,39,,,2008,Cambridge University Press Cambridge
"謝寶煖; ",專利與專利資訊檢索,"大學圖書館, 2 (4)",,,111-127,1998,臺北市: 國立臺灣大學圖書資訊學系
"江玉婷; ",中文資訊檢索測試集設計與製作之研究,,,,,1999,
"陳光華; ",資訊檢索之績效評估,2004 年現代資訊組織與檢索研討會論文集,,,125-139,2004,臺北: 淡江大學
"黃慕萱; 陳明君; ",檢索問題對資訊尋求和資訊檢索之影響,"大學圖書館, 3 (3)",,,11-32,1999,臺北市: 國立臺灣大學圖書資訊學系; 國立臺灣大學圖書館特藏組
"陳光華; 江玉婷; ",中文資訊檢索測試集之設計與製作,資訊傳播與圖書館學,6,3,61-80,2000,臺北市: 國立臺灣大學圖書資訊學系
"李建志; ",應用混合式機率模型於新聞資訊檢索之研究,,,,,2002,
"陳光華; 莊雅蓁; ",應用於資訊檢索的中文同義詞之建構,"資訊傳播與圖書館學, 8 (1), 2001 年 9 月",,,59-75,2001,臺北市: 國立臺灣大學圖書資訊學系
"江玉婷; 陳光華; ",TREC 現況及其對資訊檢索研究之影響,圖書與資訊學刊,,29,36-59,1999,臺北市: 國立臺灣大學圖書資訊學系
"張凱傑; ",視覺化資訊檢索介面評估—以 EBSCOhost 2.0 為例,,,,,2010,國立臺灣大學
"陳光華; 莊雅蓁; ",資訊檢索之中文詞彙擴展,"資訊傳播與圖書館學, 8",,1,59-75,2001,
