dc.creator,dc.title,Publication,Volume,Number,Pages,dc.date,dc.publisher
"Nokelainen, Petri; Miettinen, Miikka; Kurhila, Jaakko; Floréen, Patrik; Tirri, Henry; ",A shared document‐based annotation tool to support learner‐centred collaborative learning,British Journal of Educational Technology,36,5,757-770,2005,"Blackwell Publishing Ltd. Oxford, UK"
"Marshall, Catherine C; ",Annotation: from paper books to the digital library,Proceedings of the second ACM international conference on Digital libraries,,,131-140,1997,
"Hoe‐Lian Goh, Dion; Chua, Alton; Anqi Khoo, Davina; Boon‐Hui Khoo, Emily; Bok‐Tong Mak, Eric; Wen‐Min Ng, Maple; ",A checklist for evaluating open source digital library software,Online Information Review,30,4,360-379,2006,Emerald Group Publishing Limited
"Curran, Kevin; Murray, Michelle; Christian, Martin; ",Taking the information to the public through Library 2.0,Library hi tech,25,2,288-297,2007,Emerald Group Publishing Limited
"Rau, Pei-Luen Patrick; Chen, Sho-Hsen; Chin, Yun-Ting; ",Developing web annotation tools for learners and instructors,Interacting with Computers,16,2,163-181,2004,OUP
"Frumkin, Jeremy; ",The wiki and the digital library,OCLC Systems & Services: International digital library perspectives,21,1,18-22,2005,Emerald Group Publishing Limited
"DeRidder, Jody L; ",Choosing software for a digital library,Library hi tech news,24,9/10,19-21,2007,Emerald Group Publishing Limited
"Hwang, Wu-Yuin; Wang, Chin-Yu; Sharples, Mike; ",A study of multimedia annotation of Web-based materials,Computers & Education,48,4,680-699,2007,Pergamon
"Tansley, Robert; Bass, Mick; Stuve, David; Branschofsky, Margret; Chudnov, Daniel; McClellan, Greg; Smith, MacKenzie; ",The DSpace institutional digital repository system: current functionality,"2003 Joint Conference on Digital Libraries, 2003. Proceedings.",,,87-97,2003,IEEE
"Ovsiannikov, Ilia A; Arbib, Michael A; McNeill, Thomas H; ",Annotation technology,International journal of human-computer studies,50,4,329-362,1999,Academic Press
"Singhal, Amit; ",Modern information retrieval: A brief overview,IEEE Data Eng. Bull.,24,4,35-43,2001,
"Kobayashi, Mei; Takeda, Koichi; ",Information retrieval on the web,ACM computing surveys (CSUR),32,2,144-173,2000,"ACM New York, NY, USA"
"Baeza-Yates, Ricardo; Ribeiro-Neto, Berthier; ",Modern information retrieval,,463,1999,,1999,ACM press New York
"Chowdhury, Gobinda G; ",Introduction to modern information retrieval,,,,,2010,Facet publishing
"Jones, Karen Sparck; Willett, Peter; ",Readings in information retrieval,,,,,1997,Morgan Kaufmann
"Manning, Christopher D; ",An introduction to information retrieval,,,,,2009,Cambridge university press
"Schütze, Hinrich; Manning, Christopher D; Raghavan, Prabhakar; ",Introduction to information retrieval,,39,,,2008,Cambridge University Press Cambridge
謝寶煖; ,專利與專利資訊檢索,"大學圖書館, 2 (4)",,,111-127,1998,臺北市: 國立臺灣大學圖書資訊學系
江玉婷; ,中文資訊檢索測試集設計與製作之研究,,,,,1999,
陳光華; ,資訊檢索之績效評估,2004 年現代資訊組織與檢索研討會論文集,,,125-139,2004,臺北: 淡江大學
黃慕萱; 陳明君; ,檢索問題對資訊尋求和資訊檢索之影響,"大學圖書館, 3 (3)",,,11-32,1999,臺北市: 國立臺灣大學圖書資訊學系; 國立臺灣大學圖書館特藏組
陳光華; 江玉婷; ,中文資訊檢索測試集之設計與製作,資訊傳播與圖書館學,6,3,61-80,2000,臺北市: 國立臺灣大學圖書資訊學系
李建志; ,應用混合式機率模型於新聞資訊檢索之研究,,,,,2002,
陳光華; 莊雅蓁; ,應用於資訊檢索的中文同義詞之建構,"資訊傳播與圖書館學, 8 (1), 2001 年 9 月",,,59-75,2001,臺北市: 國立臺灣大學圖書資訊學系
江玉婷; 陳光華; ,TREC 現況及其對資訊檢索研究之影響,圖書與資訊學刊,,29,36-59,1999,臺北市: 國立臺灣大學圖書資訊學系
張凱傑; ,視覺化資訊檢索介面評估—以 EBSCOhost 2.0 為例,,,,,2010,國立臺灣大學
陳光華; 莊雅蓁; ,資訊檢索之中文詞彙擴展,"資訊傳播與圖書館學, 8",,1,59-75,2001,
王梅玲; 蔡明月; ,圖書資訊學教育,,,,,2013,五南圖書
王梅玲; ,臺灣圖書資訊學碩士教育回顧與展望,圖書館學與資訊科學,37,2,,2011,
羅思嘉; 陳光華; 林純如; ,圖書資訊學學術文獻主題分類體系之研究,圖書資訊學刊,,16,123-140,2001,國立台灣大學圖書資訊學系
卜小蝶; 張淇龍; 張映涵; 徐惠敏; 黃玫溱; 李宜容; 邱昭閔; 林珊如; 龍秀瑛; ,圖書資訊學研究,"載於國家圖書館輔導組 (編輯), 中華民國一○ 一年圖書館年鑑 (頁 237-296). 臺北市: 國家圖書館",,,,2012,
陳光華; 梁瓊方; ,臺灣圖書資訊學之跨學科交流,圖書資訊學刊,2,2,31-55,2004,臺灣大學圖書資訊學系
邱子恆; ,美國地區圖書資訊學教育之認可制度,國立中央圖書館台灣分館館刊,6,6,8-19,2000,
